training_datetime,dayname,month,year,nickname,employee_names,company,trainer,short_type,bgn_per_hour,concat_emp_company,total_per_emp,trainings_left,returns_or_not,flags,phone,pvt_email,work_email,scheduled_date,type,emp_names_input,is_valid
02-Mar-2023 09:30:00,Thursday,March,2023,SHOCHTOC,Shtedra Tocheva-Klopova,SWIFT SYSTEMS,Георги Михайлов,На живо,50.0,SHOCHTOC|SWIFT SYSTEMS,13,,more then one session,,882313532,shhedra.tocheva-klopova@yahoo.com,s.tocheva-klopova@swift.systems.com,25-Feb-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Щедра|Точева-Клопова|,1.0
02-Mar-2023 10:00:00,Thursday,March,2023,JAODGHOD,Jaiden Hodge,WISEWAY,Радослав Иванов,На живо,50.0,JAODGHOD|WISEWAY,5,,more then one session,,881112112,jaiden.hodge@yahoo.co.uk,j.hodge@wiseway.com,28-Feb-2023,WiseWay: Тренинг за лидери на живо | Leadership training in person,|Jaiden|Hodge|,1.0
02-Mar-2023 11:30:00,Thursday,March,2023,MIATEPAT,Mimoza Patechkova,NOVEX,Веселин Стефанов,Онлайн,50.0,MIATEPAT|NOVEX,37,-25.0,more then one session,"9,",883323212,mimoza.patechkova@gmail.com,m.patechkova@novex.com,21-Feb-2023,Novex: Онлайн тренинг за лидери|Online leadership training,|Мимоза|Пътечкова|,1.0
02-Mar-2023 11:30:00,Thursday,March,2023,ILENTMEN,Iliyan Menteshev,SWIFT SYSTEMS,Георги Михайлов,На живо,50.0,ILENTMEN|SWIFT SYSTEMS,16,,more then one session,,882112812,iliyan.menteshev@abv.bg,i.menteshev@swift.systems.com,25-Feb-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Илиян|Ментешев|,1.0
02-Mar-2023 13:00:00,Thursday,March,2023,HERUSKRU,Hektor Krushovska,SWIFT SYSTEMS,Цветелина Петрова,На живо,50.0,HERUSKRU|SWIFT SYSTEMS,26,,more then one session,,883528082,xektor.krushovska@mail.bg,x.krushovska@swift.systems.com,24-Feb-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Хектор|Крушовска|,1.0
02-Mar-2023 14:30:00,Thursday,March,2023,DUELEBEL,Duda Belezhkova,SWIFT SYSTEMS,Георги Михайлов,Онлайн,50.0,DUELEBEL|SWIFT SYSTEMS,21,,more then one session,,885921292,duda.belezhkova@abv.bg,d.belezhkova@swift.systems.com,25-Feb-2023,Swift Systems: Онлайн тренинг за лидери | Online leadership training,|Дуда|Бележкова|,1.0
02-Mar-2023 15:30:00,Thursday,March,2023,HRABRRIS,Hriso Gabrovlieva,SWIFT SYSTEMS,Веселин Стефанов,На живо,50.0,HRABRRIS|SWIFT SYSTEMS,15,,more then one session,"2,",889532182,xriso.gabrovlieva@mail.bg,,21-Feb-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Хрисо|Габровлиева|,1.0
02-Mar-2023 16:30:00,Thursday,March,2023,GAILLMIL,Gavin Miller,WISEWAY,Калина Петрова,Онлайн,50.0,GAILLMIL|WISEWAY,5,,more then one session,,891052039,gavin.miller@msn.com,g.miller@wiseway.com,26-Feb-2023,WiseWay: Онлайн тренинг за лидери | Online leadership training,|Gavin|Miller|,1.0
02-Mar-2023 17:00:00,Thursday,March,2023,YAYORASE,Yasen Kyorov,NOVEX,Михаил Димитров,На живо,50.0,YAYORASE|NOVEX,1,11.0,only one session,,359882121321,yasen.kaorov@abv.bg,yasen.kaorov@abv.bg,27-Feb-2023,Novex: Тренинг за лидери на живо | Leadership training in person,|Ясен|Кьоров|,1.0
02-Mar-2023 17:30:00,Thursday,March,2023,ARRADGRA,Arsena Gradinarova,SWIFT SYSTEMS,Калина Петрова,Онлайн,50.0,ARRADGRA|SWIFT SYSTEMS,6,,more then one session,,892313110,arsena.gradinarova@yahoo.com,a.gradinarova@swift.systems.com,22-Feb-2023,Swift Systems: Онлайн тренинг за лидери | Online leadership training,|Арсена|Градинарова|,1.0
02-Mar-2023 19:00:00,Thursday,March,2023,ISELLSLA,Isla Bell,WISEWAY,Теодора Йорданова,На живо,50.0,ISELLSLA|WISEWAY,5,,more then one session,"2,",892301913,isla.bell@yahoo.co.uk,,26-Jan-2023,WiseWay: Тренинг за лидери на живо | Leadership training in person,|Isla|Bell|,1.0
04-Mar-2023 10:30:00,Saturday,March,2023,AYESAMES,Aydemir Mesarov,NOVEX,Камен Георгиев,На живо,50.0,AYESAMES|NOVEX,9,3.0,more then one session,,882200011,ajdemir.mesarov@mail.bg,a.mesarov@novex.com,04-Feb-2023,Novex: Тренинг за лидери на живо | Leadership training in person,|Айдемир|Месаров|,1.0
05-Mar-2023 14:00:00,Sunday,March,2023,CRHANCHA,Cristal Chandler,ZETRON,Камен Георгиев,На живо,50.0,CRHANCHA|ZETRON,3,,more then one session,,898512822,cristal.chandler@yahoo.co.uk,c.chandler@.com,23-Jan-2023,Zetron: Тренинг за лидери на живо | Leadership training in person,|Cristal|Chandler|,1.0
06-Mar-2023 10:00:00,Monday,March,2023,AMOODHOO,Amirah Hood,MODERNTECH,Калина Петрова,На живо,40.0,AMOODHOO|MODERNTECH,4,,more then one session,,818523212,amirah.hood@yandex.ru,a.hood@moderntech.com,01-Mar-2023,ModernTech: Тренинг за лидери на живо | Leadership training in person,|Amirah|Hood|,1.0
06-Mar-2023 11:30:00,Monday,March,2023,PEANGMAN,Pepelota Mangafova,SUNRISECORP,Георги Михайлов,На живо,40.0,PEANGMAN|SUNRISECORP,2,,more then one session,,359889211222,pepelota.mangafova@gmail.com,p.mangafova@sunrisecorp.com,24-Feb-2023,SunriseCorp: Тренинг за лидери на живо | Leadership training in person,|Пепелота|Мангъфова|,1.0
06-Mar-2023 15:00:00,Monday,March,2023,LAHUKAMB,Lambi Chukanov,ОНЛАЙН КОУЧИНГ,Теодора Йорданова,Онлайн,0.0,LAHUKAMB|ОНЛАЙН КОУЧИНГ,12,,more then one session,"2,",,lambi.chukanov@mail.bg,,24-Feb-2023,Онлайн коучинг,|Ламби|Чуканов|,0.0
06-Mar-2023 15:30:00,Monday,March,2023,LOCDOMCD,Lorena Mcdonald,AGILE IDEAS,Радослав Иванов,Онлайн,55.0,LOCDOMCD|AGILE IDEAS,2,,more then one session,,359882252532,lorena.mcdonald@gmail.com,l.mcdonald@agile.ideas.com,27-Feb-2023,Agile Ideas: Онлайн тренинг за лидери | Online leadership training,|Lorena|Mcdonald|,1.0
06-Mar-2023 18:00:00,Monday,March,2023,NAARDHAR,Nash Harding,MODERNTECH,Калина Петрова,На живо,40.0,NAARDHAR|MODERNTECH,23,,more then one session,,359818132229,nash.harding@msn.com,n.harding@moderntech.com,20-Feb-2023,ModernTech: Тренинг за лидери на живо | Leadership training in person,|Nash|Harding|,1.0
06-Mar-2023 18:00:00,Monday,March,2023,KEOKODOK,Keti Dokova,MODERNTECH,София Димитрова,Онлайн,40.0,KEOKODOK|MODERNTECH,7,,more then one session,,893122212,keti.dokova@abv.bg,k.dokova@moderntech.com,27-Feb-2023,ModernTech: Онлайн тренинг за лидери | Online leadership training,|Кети|Докова|,1.0
07-Mar-2023 08:30:00,Tuesday,March,2023,LYLIEILI,Lyanka Ilieva,SWIFT SYSTEMS,Георги Михайлов,Онлайн,50.0,LYLIEILI|SWIFT SYSTEMS,22,,more then one session,,885201535,lyanka.ilieva@yahoo.com,l.ilieva@swift.systems.com,01-Mar-2023,Swift Systems: Онлайн тренинг за лидери | Online leadership training,|Лянка|Илиева|,1.0
07-Mar-2023 09:00:00,Tuesday,March,2023,YAAKRAVO,Yavora Vakrilov,SWIFT SYSTEMS,Веселин Стефанов,На живо,50.0,YAAKRAVO|SWIFT SYSTEMS,18,,more then one session,"2,",888510102,yavora.vakrilov@abv.bg,,17-Feb-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Явора|Вакрилов|,1.0
07-Mar-2023 09:30:00,Tuesday,March,2023,YAOBEBOB,Yakim Bobev,SWIFT SYSTEMS,Георги Михайлов,Онлайн,50.0,YAOBEBOB|SWIFT SYSTEMS,13,,more then one session,,889132521,yakim.bobev@mail.bg,y.bobev@swift.systems.com,01-Mar-2023,Swift Systems: Онлайн тренинг за лидери | Online leadership training,|Яким|Бобев|,1.0
07-Mar-2023 16:00:00,Tuesday,March,2023,SEARATAR,Sevda Taralingova,SUNRISECORP,Жана Иванова,На живо,40.0,SEARATAR|SUNRISECORP,2,,more then one session,,888552132,sevda.taralingova@yahoo.com,s.taralingova@sunrisecorp.com,05-Mar-2023,SunriseCorp: Тренинг за лидери на живо | Leadership training in person,|Севда|Таралингова|,1.0
07-Mar-2023 16:00:00,Tuesday,March,2023,DUELEBEL,Duda Belezhkova,SWIFT SYSTEMS,Георги Михайлов,Онлайн,50.0,DUELEBEL|SWIFT SYSTEMS,21,,more then one session,,885921292,duda.belezhkova@abv.bg,d.belezhkova@swift.systems.com,06-Mar-2023,Swift Systems: Онлайн тренинг за лидери | Online leadership training,|Дуда|Бележкова|,1.0
07-Mar-2023 18:00:00,Tuesday,March,2023,PEELEEJO,Peyolina Belezhkova,SWIFT SYSTEMS,София Димитрова,Онлайн,50.0,PEELEEJO|SWIFT SYSTEMS,10,,more then one session,,883353102,pejolina.belezhkova@abv.bg,pejolina.belezhkova@abv.bg,03-Mar-2023,Swift Systems: Онлайн тренинг за лидери | Online leadership training,|Пейолина|Бележкова|,1.0
07-Mar-2023 18:30:00,Tuesday,March,2023,SIASOXXX,Sisoya Vasova,ОНЛАЙН КОУЧИНГ,Теодора Йорданова,Онлайн,0.0,SIASOXXX|ОНЛАЙН КОУЧИНГ,4,,more then one session,"2,3,4,",,,,04-Mar-2023,Онлайн коучинг,|Сисоя|Васовa|,0.0
07-Mar-2023 19:00:00,Tuesday,March,2023,ANONTMON,Antoalina Montyanov,SUNRISECORP,София Димитрова,Онлайн,40.0,ANONTMON|SUNRISECORP,4,,more then one session,,882230828,antoalina.montyanov@gmail.com,a.montyanov@sunrisecorp.com,06-Mar-2023,SunriseCorp: Онлайн тренинг за лидери | Online leadership training,|Антоалина|Монтянов|,1.0
08-Mar-2023 10:00:00,Wednesday,March,2023,SHANAHIN,Shino Yanazov,SWIFT SYSTEMS,Георги Михайлов,На живо,50.0,SHANAHIN|SWIFT SYSTEMS,4,,more then one session,"2,",883210110,shino.yanazov@yahoo.com,,01-Mar-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Шино|Яназов|,1.0
08-Mar-2023 12:00:00,Wednesday,March,2023,VIEVEPEV,Viktoriya Pevetsova,NOVEX,Димитър Георгиев,На живо,50.0,VIEVEPEV|NOVEX,15,-3.0,more then one session,"9,",898291921,viktoriya.pevecova@mail.bg,v.pevecova@novex.com,06-Mar-2023,Novex: Тренинг за лидери на живо | Leadership training in person,|Виктория|Певецова|,1.0
08-Mar-2023 14:30:00,Wednesday,March,2023,MAARNARI,Mario Carney,SUNRISECORP,Георги Михайлов,Онлайн,40.0,MAARNARI|SUNRISECORP,2,,more then one session,,882339512,mario.carney@msn.com,mario.carney@msn.com,27-Feb-2023,SunriseCorp: Онлайн тренинг за лидери | Online leadership training,|Mario|Carney|,1.0
08-Mar-2023 15:00:00,Wednesday,March,2023,KLATAKAT,Klara Katarova,NOVEX,Калина Петрова,Онлайн,50.0,KLATAKAT|NOVEX,8,5.0,more then one session,,359812210222,klara.katarova@abv.bg,k.katarova@novex.com,03-Mar-2023,Novex: Онлайн тренинг за лидери|Online leadership training,|Клара|Катърова|,1.0
08-Mar-2023 16:00:00,Wednesday,March,2023,GEARAPAR,Georgi Parashkevov,SWIFT SYSTEMS,Димитър Георгиев,Онлайн,50.0,GEARAPAR|SWIFT SYSTEMS,47,,more then one session,,888811192,georgi.parashkevov@mail.bg,g.parashkevov@swift.systems.com,01-Mar-2023,Swift Systems: Онлайн тренинг за лидери | Online leadership training,|Георги|Парашкевов|,1.0
08-Mar-2023 16:00:00,Wednesday,March,2023,GAILLMIL,Gavin Miller,WISEWAY,Калина Петрова,Онлайн,50.0,GAILLMIL|WISEWAY,5,,more then one session,,891052039,gavin.miller@msn.com,g.miller@wiseway.com,06-Mar-2023,WiseWay: Онлайн тренинг за лидери | Online leadership training,|Gavin|Miller|,1.0
08-Mar-2023 16:30:00,Wednesday,March,2023,ZANOGMNO,Zaharinka Mnogoznaeva,SWIFT SYSTEMS,Цветелина Петрова,На живо,50.0,ZANOGMNO|SWIFT SYSTEMS,24,,more then one session,,888102255,zaxarinka.mnogoznaeva@yahoo.com,z.mnogoznaeva@swift.systems.com,03-Mar-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Захаринка|Многознаева|,1.0
08-Mar-2023 17:00:00,Wednesday,March,2023,ANIRAMIR,Angela Miranda,SWIFT SYSTEMS,Жана Иванова,На живо,50.0,ANIRAMIR|SWIFT SYSTEMS,40,,more then one session,,885521133,angela.miranda@yahoo.co.uk,a.miranda@swift.systems.com,02-Mar-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Angela|Miranda|,1.0
08-Mar-2023 17:00:00,Wednesday,March,2023,ZVIMOLIM,Zvezdislav Limonadov,MODERNTECH,Димитър Петров,На живо,40.0,ZVIMOLIM|MODERNTECH,15,,more then one session,,883328221,zvezdislav.limonadov@mail.bg,z.limonadov@moderntech.com,05-Mar-2023,ModernTech: Тренинг за лидери на живо | Leadership training in person,|Звездислав|Лимонадов|,1.0
08-Mar-2023 18:00:00,Wednesday,March,2023,AGIKONIK,Aglen Nikolov,AGILE IDEAS,Калина Петрова,На живо,55.0,AGIKONIK|AGILE IDEAS,3,,more then one session,,882181103,aglen.nikolov@mail.bg,a.nikolov@agile.ideas.com,01-Mar-2023,Agile Ideas: Тренинг за лидери на живо | Leadership training in person,|Ъглен|Николов|,1.0
09-Mar-2023 08:30:00,Thursday,March,2023,STUKUKUK,Stoimena Kukuryashkov,SWIFT SYSTEMS,Георги Михайлов,На живо,50.0,STUKUKUK|SWIFT SYSTEMS,21,,more then one session,,889133322,stoimena.kukuryashkov@abv.bg,s.kukuryashkov@swift.systems.com,06-Mar-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Стоимена|Кукуряшков|,1.0
09-Mar-2023 08:45:00,Thursday,March,2023,JAODGHOD,Jaiden Hodge,WISEWAY,Радослав Иванов,На живо,50.0,JAODGHOD|WISEWAY,5,,more then one session,,881112112,jaiden.hodge@yahoo.co.uk,j.hodge@wiseway.com,06-Mar-2023,WiseWay: Тренинг за лидери на живо | Leadership training in person,|Jaiden|Hodge|,1.0
09-Mar-2023 09:30:00,Thursday,March,2023,KAAMIRAM,Kaden Ramirez,SUNRISECORP,Георги Михайлов,На живо,40.0,KAAMIRAM|SUNRISECORP,1,,only one session,,883288212,kaden.ramirez@msn.com,k.ramirez@sunrisecorp.com,02-Mar-2023,SunriseCorp: Тренинг за лидери на живо | Leadership training in person,|Kaden|Ramirez|,1.0
09-Mar-2023 09:30:00,Thursday,March,2023,CHRIVKRI,Chora Krivoshapkova,SWIFT SYSTEMS,Виктория Христова,На живо,50.0,CHRIVKRI|SWIFT SYSTEMS,2,,more then one session,,893552253,chora.krivoshapkova@gmail.com,c.krivoshapkova@swift.systems.com,06-Mar-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Чора|Кривошапкова|,1.0
09-Mar-2023 13:00:00,Thursday,March,2023,CAOLOSOL,Cameron Solomon,PRODIGY,Калина Петрова,Онлайн,40.0,CAOLOSOL|PRODIGY,3,,more then one session,,890210222,cameron.solomon@yahoo.co.uk,c.solomon@vortex.com,20-Feb-2023,Prodigy: Онлайн тренинг за лидери,|Cameron|Solomon|,1.0
09-Mar-2023 15:30:00,Thursday,March,2023,HRABRRIS,Hriso Gabrovlieva,SWIFT SYSTEMS,Веселин Стефанов,На живо,50.0,HRABRRIS|SWIFT SYSTEMS,15,,more then one session,"2,",889532182,xriso.gabrovlieva@mail.bg,,02-Mar-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Хрисо|Габровлиева|,1.0
09-Mar-2023 17:00:00,Thursday,March,2023,ARRADGRA,Arsena Gradinarova,SWIFT SYSTEMS,Калина Петрова,Онлайн,50.0,ARRADGRA|SWIFT SYSTEMS,6,,more then one session,,892313110,arsena.gradinarova@yahoo.com,a.gradinarova@swift.systems.com,02-Mar-2023,Swift Systems: Онлайн тренинг за лидери | Online leadership training,|Арсена|Градинарова|,1.0
09-Mar-2023 18:00:00,Thursday,March,2023,OLOBIKOB,Olimpi Kobilarov,AGILE IDEAS,Жана Иванова,Онлайн,55.0,OLOBIKOB|AGILE IDEAS,1,,only one session,,898205052,olimpi.kobilarov@gmail.com,o.kobilarov@agile.ideas.com,23-Feb-2023,Agile Ideas: Онлайн тренинг за лидери | Online leadership training,|Олимпи|Кобиларов|,1.0
09-Mar-2023 18:00:00,Thursday,March,2023,MAATYTAT,Margit Tatyozov,AGILE IDEAS,Калина Петрова,Онлайн,55.0,MAATYTAT|AGILE IDEAS,2,,more then one session,,885029822,margit.tataozov@mail.bg,m.tataozov@agile.ideas.com,24-Feb-2023,Agile Ideas: Онлайн тренинг за лидери | Online leadership training,|Маргит|Татьозов|,1.0
09-Mar-2023 18:00:00,Thursday,March,2023,GIONDPON,Giko Pondyov,SWIFT SYSTEMS,Димитър Петров,На живо,50.0,GIONDPON|SWIFT SYSTEMS,27,,more then one session,,892821911,giko.pondaov@abv.bg,g.pondaov@swift.systems.com,27-Feb-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Гико|Пондьов|,1.0
09-Mar-2023 18:00:00,Thursday,March,2023,BOENDOZH,Bozhinel Pendzhakova,ОНЛАЙН КОУЧИНГ,Теодора Йорданова,Онлайн,0.0,BOENDOZH|ОНЛАЙН КОУЧИНГ,6,,more then one session,"2,",,bozhinel.pendzhakova@abv.bg,,28-Feb-2023,Онлайн коучинг,|Божинел|Пенджакова|,0.0
09-Mar-2023 19:00:00,Thursday,March,2023,ISELLSLA,Isla Bell,WISEWAY,Теодора Йорданова,На живо,50.0,ISELLSLA|WISEWAY,5,,more then one session,"2,",892301913,isla.bell@yahoo.co.uk,,26-Jan-2023,WiseWay: Тренинг за лидери на живо | Leadership training in person,|Isla|Bell|,1.0
10-Mar-2023 09:00:00,Friday,March,2023,LUAYEMAY,Luke Mayer,NOVEX,Любомира Иванова,Онлайн,50.0,LUAYEMAY|NOVEX,6,6.0,more then one session,,899321552,luke.mayer@yandex.ru,l.mayer@novex.com,01-Mar-2023,Novex: Онлайн тренинг за лидери|Online leadership training,|Luke|Mayer|,1.0
10-Mar-2023 12:00:00,Friday,March,2023,MIATEPAT,Mimoza Patechkova,NOVEX,Веселин Стефанов,Онлайн,50.0,MIATEPAT|NOVEX,37,-25.0,more then one session,"9,",883323212,mimoza.patechkova@gmail.com,m.patechkova@novex.com,21-Feb-2023,Novex: Онлайн тренинг за лидери|Online leadership training,|Мимоза|Пътечкова|,1.0
10-Mar-2023 13:00:00,Friday,March,2023,PAANGAVI,Paviliya Mangafova,SUNRISECORP,Жана Иванова,Онлайн,40.0,PAANGAVI|SUNRISECORP,4,,more then one session,,818221225,paviliya.mangafova@yahoo.com,paviliya.mangafova@yahoo.com,17-Feb-2023,SunriseCorp: Онлайн тренинг за лидери | Online leadership training,|Павилия|Мангъфова|,1.0
10-Mar-2023 16:00:00,Friday,March,2023,FULANSLA,Fuga Slaninkova,NOVEX,Калина Петрова,Онлайн,50.0,FULANSLA|NOVEX,11,1.0,more then one session,"9,",883312022,fuga.slaninkova@abv.bg,f.slaninkova@novex.com,08-Mar-2023,Novex: Онлайн тренинг за лидери|Online leadership training,|Фуга|Сланинкова|,1.0
12-Mar-2023 13:00:00,Sunday,March,2023,KOEVEPEV,Koyno Pevetsova,NOVEX,Камен Георгиев,На живо,50.0,KOEVEPEV|NOVEX,5,7.0,more then one session,,359885031511,kojno.pevecova@yahoo.com,k.pevecova@novex.com,07-Mar-2023,Novex: Тренинг за лидери на живо | Leadership training in person,|Койно|Певецова|,1.0
13-Mar-2023 11:00:00,Monday,March,2023,AMOODHOO,Amirah Hood,MODERNTECH,Калина Петрова,На живо,40.0,AMOODHOO|MODERNTECH,4,,more then one session,,818523212,amirah.hood@yandex.ru,a.hood@moderntech.com,08-Mar-2023,ModernTech: Тренинг за лидери на живо | Leadership training in person,|Amirah|Hood|,1.0
13-Mar-2023 14:00:00,Monday,March,2023,LAHUKAMB,Lambi Chukanov,ОНЛАЙН КОУЧИНГ,Теодора Йорданова,Онлайн,0.0,LAHUKAMB|ОНЛАЙН КОУЧИНГ,12,,more then one session,"2,",,lambi.chukanov@mail.bg,,06-Mar-2023,Онлайн коучинг,|Ламби|Чуканов|,0.0
13-Mar-2023 18:00:00,Monday,March,2023,NAARDHAR,Nash Harding,MODERNTECH,Калина Петрова,На живо,40.0,NAARDHAR|MODERNTECH,23,,more then one session,,359818132229,nash.harding@msn.com,n.harding@moderntech.com,08-Mar-2023,ModernTech: Тренинг за лидери на живо | Leadership training in person,|Nash|Harding|,1.0
13-Mar-2023 19:00:00,Monday,March,2023,LOCDOMCD,Lorena Mcdonald,AGILE IDEAS,Радослав Иванов,Онлайн,55.0,LOCDOMCD|AGILE IDEAS,2,,more then one session,,359882252532,lorena.mcdonald@gmail.com,l.mcdonald@agile.ideas.com,10-Mar-2023,Agile Ideas: Онлайн тренинг за лидери | Online leadership training,|Lorena|Mcdonald|,1.0
14-Mar-2023 12:00:00,Tuesday,March,2023,INCCUMCC,India Mccullough,ОНЛАЙН СЕСИЯ,Веселин Стефанов,Онлайн,,INCCUMCC|ОНЛАЙН СЕСИЯ,1,,only one session,,353811259302,india.mccullough@yandex.ru,i.mccullough@indigo.com,27-Feb-2023,Онлайн сесия / Online session,|India|Mccullough|,
15-Mar-2023 09:00:00,Wednesday,March,2023,PAABRGAB,Pano Gabrovlieva,NOVEX,Веселин Стефанов,Онлайн,50.0,PAABRGAB|NOVEX,2,10.0,more then one session,,819510022,pano.gabrovlieva@abv.bg,p.gabrovlieva@novex.com,08-Mar-2023,Novex: Онлайн тренинг за лидери|Online leadership training,|Пано|Габровлиева|,1.0
15-Mar-2023 11:30:00,Wednesday,March,2023,MIATEPAT,Mimoza Patechkova,NOVEX,Веселин Стефанов,Онлайн,50.0,MIATEPAT|NOVEX,37,-25.0,more then one session,"9,",883323212,mimoza.patechkova@gmail.com,m.patechkova@novex.com,06-Mar-2023,Novex: Онлайн тренинг за лидери|Online leadership training,|Мимоза|Пътечкова|,1.0
15-Mar-2023 13:30:00,Wednesday,March,2023,AGSHLASH,Agustin Ashley,SUNRISECORP,Валентинка Петкова,На живо,40.0,AGSHLASH|SUNRISECORP,5,,more then one session,,889332922,agustin.ashley@yahoo.co.uk,a.ashley@sunrisecorp.com,20-Feb-2023,SunriseCorp: Тренинг за лидери на живо | Leadership training in person,|Agustin|Ashley|,1.0
15-Mar-2023 15:00:00,Wednesday,March,2023,HAVANIVA,Hacho Ivanov,NOVEX,Димитър Петров,На живо,50.0,HAVANIVA|NOVEX,7,5.0,more then one session,,819803910,xacho.ivanov@yahoo.com,x.ivanov@novex.com,17-Feb-2023,Novex: Тренинг за лидери на живо | Leadership training in person,|Хачо|Иванов|,1.0
15-Mar-2023 16:00:00,Wednesday,March,2023,SEARATAR,Sevda Taralingova,SUNRISECORP,Жана Иванова,На живо,40.0,SEARATAR|SUNRISECORP,2,,more then one session,,888552132,sevda.taralingova@yahoo.com,s.taralingova@sunrisecorp.com,09-Mar-2023,SunriseCorp: Тренинг за лидери на живо | Leadership training in person,|Севда|Таралингова|,1.0
