training_datetime,dayname,month,year,nickname,employee_names,company,trainer,short_type,bgn_per_hour,concat_emp_company,total_per_emp,trainings_left,returns_or_not,flags,phone,pvt_email,work_email,scheduled_date,type,emp_names_input,is_valid
23-Dec-2020 16:00:00,Wednesday,December,2020,PRHETRES,Presa Chetrafilski,NEXATECH,Иван Тодоров,Онлайн,40.0,PRHETRES|NEXATECH,1,,only one session,,,presa.chetrafilski@abv.bg,presa.chetrafilski@abv.bg,21-Dec-2020,NexaTech | Online leadership training | Онлайн тренинг за лидери,| Преса|Четрафилски |,1.0
12-Jan-2021 17:00:00,Tuesday,January,2021,NEVANIVA,Neshka Ivanov,BLUENOVA,Димитър Петров,Онлайн,40.0,NEVANIVA|BLUENOVA,16,,more then one session,,882808082,neshka.ivanov@yahoo.com,n.ivanov@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Нешка|Иванов|,1.0
12-Jan-2021 18:30:00,Tuesday,January,2021,NARANPRA,Nastimir Prandachka,VORTEX,Мария Георгиева,Онлайн,40.0,NARANPRA|VORTEX,2,,more then one session,,885210310,nastimir.prandachka@gmail.com,n.prandachka@vortex.com,07-Jan-2021,Vortex | Online leadership training | Онлайн тренинг за лидери,|Настимир|Пръндачка|,1.0
13-Jan-2021 12:00:00,Wednesday,January,2021,STALABAL,Stasha Balahurov,BLUENOVA,Георги Стоянов,Онлайн,40.0,STALABAL|BLUENOVA,6,,more then one session,,893210120,stasha.balaxurov@mail.bg,s.balaxurov@bluenova.com,09-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Сташа|Балахуров|,1.0
13-Jan-2021 15:00:00,Wednesday,January,2021,ALENTBEN,Alessandra Bentley,BLUENOVA,Димитър Петров,Онлайн,40.0,ALENTBEN|BLUENOVA,20,,more then one session,,883322211,alessandra.bentley@yandex.ru,a.bentley@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Alessandra|Bentley|,1.0
13-Jan-2021 15:00:00,Wednesday,January,2021,TRANGVAN,Tripp Vang,BLUENOVA,Иван Тодоров,Онлайн,40.0,TRANGVAN|BLUENOVA,1,,only one session,,895899111,tripp.vang@gmail.com,t.vang@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Tripp|Vang|,1.0
13-Jan-2021 16:30:00,Wednesday,January,2021,RAELEKEL,Raynichka Keleshev,VORTEX,Димитър Петров,Онлайн,40.0,RAELEKEL|VORTEX,2,,more then one session,,899103531,rajnichka.keleshev@abv.bg,r.keleshev@vortex.com,08-Jan-2021,Vortex | Online leadership training | Онлайн тренинг за лидери,|Райничка|Келешев|,1.0
13-Jan-2021 18:00:00,Wednesday,January,2021,CHSANOSA,Charlie Osantana,BLUENOVA,Мария Георгиева,На живо,40.0,CHSANOSA|BLUENOVA,11,,more then one session,,889238292,charlie.osantana@msn.com,c.osantana@bluenova.com,07-Jan-2021,BlueNova | Leadership training in person | Тренинг за лидери на живо,|Charlie|OSantana|,1.0
13-Jan-2021 18:00:00,Wednesday,January,2021,ILVROEVR,Ilcho Evropov Kirilov,BLUENOVA,Иван Тодоров,На живо,40.0,ILVROEVR|BLUENOVA,1,,only one session,,899112102,ilcho.evropov kirilov@yahoo.com,i.evropov kirilov@bluenova.com,07-Jan-2021,BlueNova | Leadership training in person | Тренинг за лидери на живо,|Илчо|Европов Кирилов|,1.0
13-Jan-2021 18:00:00,Wednesday,January,2021,SHHTASHH,Shamo Shtarbov,BLUENOVA,Димитър Петров,Онлайн,40.0,SHHTASHH|BLUENOVA,9,,more then one session,,818182591,shamo.shharbov@gmail.com,s.shharbov@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Шамо|Щърбов|,1.0
13-Jan-2021 18:30:00,Wednesday,January,2021,MAASOVAS,Maslina Vasova,BLUENOVA,Георги Стоянов,Онлайн,40.0,MAASOVAS|BLUENOVA,16,,more then one session,,359899522008,maslina.vasova@mail.bg,m.vasova@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Маслина|Васовa|,1.0
14-Jan-2021 13:00:00,Thursday,January,2021,PAARAAND,Pandelis Karakashev,BLUENOVA,Димитър Петров,Онлайн,40.0,PAARAAND|BLUENOVA,2,,more then one session,"2,",883331511,pandelis.karakashev@yahoo.com,,08-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Панделис|Каракашев|,1.0
14-Jan-2021 13:30:00,Thursday,January,2021,DAARSMAR,Dana Marsh,BLUENOVA,Георги Стоянов,Онлайн,40.0,DAARSMAR|BLUENOVA,1,,only one session,,818582205,dana.marsh@yahoo.co.uk,d.marsh@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Dana|Marsh|,1.0
14-Jan-2021 15:00:00,Thursday,January,2021,HIANGMAN,Hitko Mangafova,BLUENOVA,Георги Стоянов,Онлайн,40.0,HIANGMAN|BLUENOVA,32,,more then one session,,883219221,xitko.mangafova@abv.bg,x.mangafova@bluenova.com,08-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Хитко|Мангъфова|,1.0
14-Jan-2021 16:30:00,Thursday,January,2021,LEONTMON,Lea Montes,BLUENOVA,Георги Стоянов,Онлайн,40.0,LEONTMON|BLUENOVA,11,,more then one session,,898211318,lea.montes@yandex.ru,l.montes@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Lea|Montes|,1.0
14-Jan-2021 18:00:00,Thursday,January,2021,TEUKUKUK,Teofan Kukurigov,BLUENOVA,Димитър Петров,Онлайн,40.0,TEUKUKUK|BLUENOVA,1,,only one session,,889228192,teofan.kukurigov@yahoo.com,t.kukurigov@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Теофан|Кукуригов|,1.0
15-Jan-2021 09:00:00,Friday,January,2021,DIABRGAB,Dilmana Gabrovlieva,NEXATECH,Жана Иванова,Онлайн,40.0,DIABRGAB|NEXATECH,2,,more then one session,,882833928,hello@test.jp,d.gabrovlieva@nexatech.com,08-Jan-2021,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Дилмана|Габровлиева|,1.0
15-Jan-2021 10:00:00,Friday,January,2021,LYOTKJOT,Lyubina Yotkova,NEXATECH,Димитър Петров,Онлайн,40.0,LYOTKJOT|NEXATECH,2,,more then one session,,,hello@test.jp,l.jotkova@nexatech.com,04-Jan-2021,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Любина|Йоткова|,1.0
15-Jan-2021 11:00:00,Friday,January,2021,FLRADGRA,Flaviya Gradinarova,BLUENOVA,Георги Стоянов,На живо,40.0,FLRADGRA|BLUENOVA,11,,more then one session,,888291252,flaviya.gradinarova@yahoo.com,f.gradinarova@bluenova.com,07-Jan-2021,BlueNova | Leadership training in person | Тренинг за лидери на живо,|Флавия|Градинарова|,1.0
15-Jan-2021 11:00:00,Friday,January,2021,JEBBOABB,Jeremy Abbott,BLUENOVA,Димитър Петров,Онлайн,40.0,JEBBOABB|BLUENOVA,1,,only one session,,882812552,jeremy.abbott@gmail.com,j.abbott@bluenova.com,14-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Jeremy|Abbott|,1.0
15-Jan-2021 12:00:00,Friday,January,2021,SOOCHTOC,Sofiyka Tocheva-Klopova,NEXATECH,Димитър Петров,Онлайн,40.0,SOOCHTOC|NEXATECH,1,,only one session,,,hello@test.jp,s.tocheva-klopova@nexatech.com,14-Jan-2021,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Софийка|Точева-Клопова|,1.0
15-Jan-2021 16:00:00,Friday,January,2021,CHLOYHAN,Chana Floyd,BLUENOVA,Димитър Петров,Онлайн,40.0,CHLOYHAN|BLUENOVA,1,,only one session,,818050111,chana.floyd@msn.com,chana.floyd@msn.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Chana|Floyd|,1.0
15-Jan-2021 18:30:00,Friday,January,2021,ALRAWLIJ,Alijah Crawford,BLUENOVA,Иван Тодоров,Онлайн,40.0,ALRAWLIJ|BLUENOVA,4,,more then one session,"2,",818385881,alijah.crawford@msn.com,,10-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Alijah|Crawford|,1.0
18-Jan-2021 10:00:00,Monday,January,2021,GEELOBEL,Gerdan Belokonska-Vrazhalska,VORTEX,Георги Стоянов,Онлайн,40.0,GEELOBEL|VORTEX,4,,more then one session,,882552252,gerdan.belokonska-vrazhalska@mail.bg,g.belokonska-vrazhalska@vortex.com,07-Jan-2021,Vortex | Online leadership training | Онлайн тренинг за лидери,|Гердан|Белоконска-Вражалска|,1.0
18-Jan-2021 11:00:00,Monday,January,2021,KYCCOMCC,Kymani Mccormick,VORTEX,,Онлайн,40.0,KYCCOMCC|VORTEX,5,,more then one session,,892251191,kymani.mccormick@yahoo.co.uk,k.mccormick@vortex.com,15-Jan-2021,Vortex | Online leadership training | Онлайн тренинг за лидери,|Kymani|Mccormick|,1.0
18-Jan-2021 12:00:00,Monday,January,2021,BRHRICHR,Bryan Christensen,BLUENOVA,,Онлайн,40.0,BRHRICHR|BLUENOVA,2,,more then one session,,359888882922,bryan.christensen@yandex.ru,b.christensen@bluenova.com,14-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Bryan|Christensen|,1.0
18-Jan-2021 14:00:00,Monday,January,2021,FIRADGRA,Findo Gradinarova,BLUENOVA,Жана Иванова,Онлайн,40.0,FIRADGRA|BLUENOVA,15,,more then one session,,882252233,findo.gradinarova@gmail.com,f.gradinarova@bluenova.com,14-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Финдо|Градинарова|,1.0
18-Jan-2021 15:00:00,Monday,January,2021,KRORIKOR,Krastanka Koritarova,BLUENOVA,Димитър Петров,Онлайн,40.0,KRORIKOR|BLUENOVA,42,,more then one session,,885881182,krastanka.koritarova@abv.bg,k.koritarova@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Кръстанка|Коритарова|,1.0
18-Jan-2021 15:00:00,Monday,January,2021,KVEVEPEV,Kvetoslava Pevetsova,BLUENOVA,Георги Стоянов,На живо,40.0,KVEVEPEV|BLUENOVA,4,,more then one session,,892128221,kvetoslava.pevecova@yahoo.com,k.pevecova@bluenova.com,07-Jan-2021,BlueNova | Leadership training in person | Тренинг за лидери на живо,|Кветослава|Певецова|,1.0
18-Jan-2021 15:00:00,Monday,January,2021,BEOBEROB,Beckham Roberson,VORTEX,Жана Иванова,На живо,40.0,BEOBEROB|VORTEX,6,,more then one session,,359892101520,beckham.roberson@gmail.com,b.roberson@vortex.com,09-Jan-2021,Vortex | Leadership training in person | Тренинг за лидери на живо,|Beckham|Roberson|,1.0
18-Jan-2021 15:00:00,Monday,January,2021,SHEDYHHT,Shttarkan Nedyalkov,BLUENOVA,Иван Тодоров,Онлайн,40.0,SHEDYHHT|BLUENOVA,2,,more then one session,,898213212,shhtarkan.nedyalkov@gmail.com,shhtarkan.nedyalkov@gmail.com,12-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Щтъркан|Недялков|,1.0
18-Jan-2021 16:00:00,Monday,January,2021,MEARATAR,Merilin Taralingova,BLUENOVA,Димитър Петров,Онлайн,40.0,MEARATAR|BLUENOVA,17,,more then one session,,811139112,merilin.taralingova@abv.bg,m.taralingova@bluenova.com,12-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Мерилин|Таралингова|,1.0
18-Jan-2021 17:00:00,Monday,January,2021,URACHDAC,Urima Dachev,NEXATECH,Димитър Петров,Онлайн,40.0,URACHDAC|NEXATECH,1,,only one session,,,hello@test.jp,u.dachev@nexatech.com,12-Jan-2021,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Урима|Дачев|,1.0
18-Jan-2021 18:00:00,Monday,January,2021,NARANPRA,Nastimir Prandachka,VORTEX,Мария Георгиева,На живо,40.0,NARANPRA|VORTEX,2,,more then one session,,885210310,nastimir.prandachka@gmail.com,n.prandachka@vortex.com,15-Jan-2021,Vortex | Leadership training in person | Тренинг за лидери на живо,|Настимир|Пръндачка|,1.0
18-Jan-2021 18:30:00,Monday,January,2021,SIARATAR,Silyana Taralingova,NEXATECH,Иван Тодоров,Онлайн,40.0,SIARATAR|NEXATECH,1,,only one session,,883329132,hello@test.jp,s.taralingova@nexatech.com,14-Jan-2021,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Силяна|Таралингова|,1.0
19-Jan-2021 11:00:00,Tuesday,January,2021,TAARDHAR,Tanya Hardy,BLUENOVA,Георги Стоянов,Онлайн,40.0,TAARDHAR|BLUENOVA,4,,more then one session,,881853522,tanya.hardy@msn.com,t.hardy@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Tanya|Hardy|,1.0
19-Jan-2021 15:00:00,Tuesday,January,2021,MAAMPVAM,Mahno Vampirska,BLUENOVA,Димитър Петров,Онлайн,40.0,MAAMPVAM|BLUENOVA,6,,more then one session,,818201222,maxno.vampirska@gmail.com,m.vampirska@bluenova.com,11-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Махно|Вампирска|,1.0
19-Jan-2021 16:00:00,Tuesday,January,2021,MOARRHAR,Morgan Harrell,VORTEX,Мария Георгиева,На живо,40.0,MOARRHAR|VORTEX,3,,more then one session,,898229925,morgan.harrell@yahoo.co.uk,m.harrell@vortex.com,08-Jan-2021,Vortex | Leadership training in person | Тренинг за лидери на живо,|Morgan|Harrell|,1.0
19-Jan-2021 16:00:00,Tuesday,January,2021,PORADGRA,Poleksina Gradinarova,NEXATECH,Димитър Петров,Онлайн,40.0,PORADGRA|NEXATECH,2,,more then one session,,,hello@test.jp,p.gradinarova@nexatech.com,14-Jan-2021,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Полексина|Градинарова|,1.0
19-Jan-2021 17:00:00,Tuesday,January,2021,NEVANIVA,Neshka Ivanov,BLUENOVA,Димитър Петров,Онлайн,40.0,NEVANIVA|BLUENOVA,16,,more then one session,,882808082,neshka.ivanov@yahoo.com,n.ivanov@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Нешка|Иванов|,1.0
19-Jan-2021 17:00:00,Tuesday,January,2021,AGACHDAC,Agneshka Dachev,VORTEX,Мария Георгиева,Онлайн,40.0,AGACHDAC|VORTEX,2,,more then one session,,883328885,agneshka.dachev@abv.bg,a.dachev@vortex.com,14-Jan-2021,Vortex | Online leadership training | Онлайн тренинг за лидери,|Агнешка|Дачев|,1.0
19-Jan-2021 18:30:00,Tuesday,January,2021,RERTEORT,Rex Ortega,BLUENOVA,Мария Георгиева,Онлайн,40.0,RERTEORT|BLUENOVA,3,,more then one session,,899225322,rex.ortega@yandex.ru,r.ortega@bluenova.com,08-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Rex|Ortega|,1.0
20-Jan-2021 11:00:00,Wednesday,January,2021,FIANGRAN,Filko Rangelov,VORTEX,Георги Стоянов,Онлайн,40.0,FIANGRAN|VORTEX,1,,only one session,,885222990,filko.rangelov@yahoo.com,f.rangelov@vortex.com,11-Jan-2021,Vortex | Online leadership training | Онлайн тренинг за лидери,|Филко|Рангелов|,1.0
20-Jan-2021 15:00:00,Wednesday,January,2021,PAARAKAR,Pandelis Karakashev,BLUENOVA,Димитър Петров,На живо,40.0,PAARAKAR|BLUENOVA,67,,more then one session,"3,",,,p.karakashev@bluenova.com,14-Jan-2021,BlueNova | Leadership training in person | Тренинг за лидери на живо,|Панделис|Каракашев|,1.0
20-Jan-2021 15:00:00,Wednesday,January,2021,GEELOBEL,Gerdan Belokonska-Vrazhalska,VORTEX,Иван Тодоров,Онлайн,40.0,GEELOBEL|VORTEX,4,,more then one session,,882552252,gerdan.belokonska-vrazhalska@mail.bg,g.belokonska-vrazhalska@vortex.com,18-Jan-2021,Vortex | Online leadership training | Онлайн тренинг за лидери,|Гердан|Белоконска-Вражалска|,1.0
20-Jan-2021 16:00:00,Wednesday,January,2021,JUROWBRO,Julien Brown,BLUENOVA,Иван Тодоров,Онлайн,40.0,JUROWBRO|BLUENOVA,1,,only one session,,889191210,julien.brown@gmail.com,j.brown@bluenova.com,11-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Julien|Brown|,1.0
20-Jan-2021 17:00:00,Wednesday,January,2021,NOATTORA,Nora Patton,BLUENOVA,Георги Стоянов,Онлайн,40.0,NOATTORA|BLUENOVA,1,,only one session,,883381258,nora.patton@msn.com,nora.patton@msn.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Nora|Patton|,1.0
20-Jan-2021 18:00:00,Wednesday,January,2021,CHSANOSA,Charlie Osantana,BLUENOVA,Мария Георгиева,На живо,40.0,CHSANOSA|BLUENOVA,11,,more then one session,,889238292,charlie.osantana@msn.com,c.osantana@bluenova.com,07-Jan-2021,BlueNova | Leadership training in person | Тренинг за лидери на живо,|Charlie|OSantana|,1.0
20-Jan-2021 18:00:00,Wednesday,January,2021,TOALKBAL,Todor Balkanska,NEXATECH,Димитър Петров,Онлайн,40.0,TOALKBAL|NEXATECH,1,,only one session,,,hello@test.jp,t.balkanska@nexatech.com,14-Jan-2021,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Тодор|Балканска|,1.0
20-Jan-2021 18:15:00,Wednesday,January,2021,ILVROLCH,Ilcho Evropov Kirilov,BLUENOVA,Иван Тодоров,На живо,40.0,ILVROLCH|BLUENOVA,1,,only one session,"2,",899112102,ilcho.evropov kirilov@yahoo.com,,14-Jan-2021,BlueNova | Leadership training in person | Тренинг за лидери на живо,|Илчо|Европов Кирилов|,1.0
20-Jan-2021 18:30:00,Wednesday,January,2021,MAASOVAS,Maslina Vasova,BLUENOVA,Георги Стоянов,Онлайн,40.0,MAASOVAS|BLUENOVA,16,,more then one session,,359899522008,maslina.vasova@mail.bg,m.vasova@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Маслина|Васовa|,1.0
20-Jan-2021 19:30:00,Wednesday,January,2021,FIROSPRO,Findo Proshkov,NEXATECH,Жана Иванова,Онлайн,40.0,FIROSPRO|NEXATECH,2,,more then one session,,818502512,hello@test.jp,f.proshkov@nexatech.com,14-Jan-2021,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Финдо|Прошков|,1.0
21-Jan-2021 13:00:00,Thursday,January,2021,MIUXXYUB,Micah Yu,BLUENOVA,Георги Стоянов,Онлайн,40.0,MIUXXYUB|BLUENOVA,9,,more then one session,"1,",883522500,micah.yu@yahoo.co.uk,m.yu@bluenova.com,08-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Micah|Yu|,1.0
21-Jan-2021 13:00:00,Thursday,January,2021,DEHANCHA,Despinka Chanlieva,BLUENOVA,,Онлайн,40.0,DEHANCHA|BLUENOVA,5,,more then one session,,889101011,despinka.chanlieva@abv.bg,d.chanlieva@bluenova.com,18-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Деспинка|Чанлиева|,1.0
21-Jan-2021 15:00:00,Thursday,January,2021,DEOCHKOC,Dencho Kochetkova,VORTEX,Димитър Петров,Онлайн,40.0,DEOCHKOC|VORTEX,4,,more then one session,,889251928,dencho.kochetkova@yahoo.com,d.kochetkova@vortex.com,12-Jan-2021,Vortex | Online leadership training | Онлайн тренинг за лидери,|Денчо|Кочеткова|,1.0
21-Jan-2021 16:30:00,Thursday,January,2021,ALENTBEN,Alessandra Bentley,BLUENOVA,Димитър Петров,Онлайн,40.0,ALENTBEN|BLUENOVA,20,,more then one session,,883322211,alessandra.bentley@yandex.ru,a.bentley@bluenova.com,13-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Alessandra|Bentley|,1.0
21-Jan-2021 17:30:00,Thursday,January,2021,STHUTTAV,Stavisara Chuturkov,BLUENOVA,Георги Стоянов,На живо,40.0,STHUTTAV|BLUENOVA,11,,more then one session,,818225151,stavisara.chuturkov@gmail.com,stavisara.chuturkov@gmail.com,07-Jan-2021,BlueNova | Leadership training in person | Тренинг за лидери на живо,|Стависара|Чутурков|,1.0
21-Jan-2021 17:30:00,Thursday,January,2021,TRANGRIP,Tripp Vang,BLUENOVA,Иван Тодоров,Онлайн,40.0,TRANGRIP|BLUENOVA,5,,more then one session,"2,",895899111,tripp.vang@gmail.com,,14-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Tripp|Vang|,1.0
21-Jan-2021 18:00:00,Thursday,January,2021,RAELEKEL,Raynichka Keleshev,VORTEX,Димитър Петров,Онлайн,40.0,RAELEKEL|VORTEX,2,,more then one session,,899103531,rajnichka.keleshev@abv.bg,r.keleshev@vortex.com,13-Jan-2021,Vortex | Online leadership training | Онлайн тренинг за лидери,|Райничка|Келешев|,1.0
21-Jan-2021 19:00:00,Thursday,January,2021,SASITCIC,Sahoriya Tsitskov,NEXATECH,Димитър Петров,Онлайн,40.0,SASITCIC|NEXATECH,1,,only one session,,,hello@test.jp,s.cickov@nexatech.com,04-Jan-2021,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Сахория|Цицков|,1.0
24-Jan-2021 16:30:00,Sunday,January,2021,ALRAWLIJ,Alijah Crawford,BLUENOVA,Иван Тодоров,Онлайн,40.0,ALRAWLIJ|BLUENOVA,4,,more then one session,"2,",818385881,alijah.crawford@msn.com,,16-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Alijah|Crawford|,1.0
25-Jan-2021 11:00:00,Monday,January,2021,KYCCOMCC,Kymani Mccormick,VORTEX,,Онлайн,40.0,KYCCOMCC|VORTEX,5,,more then one session,,892251191,kymani.mccormick@yahoo.co.uk,k.mccormick@vortex.com,18-Jan-2021,Vortex | Online leadership training | Онлайн тренинг за лидери,|Kymani|Mccormick|,1.0
25-Jan-2021 12:00:00,Monday,January,2021,JUUNTHUN,Judith Hunter,VORTEX,Георги Стоянов,Онлайн,40.0,JUUNTHUN|VORTEX,6,,more then one session,,359888805225,judith.hunter@yandex.ru,j.hunter@vortex.com,08-Jan-2021,Vortex | Online leadership training | Онлайн тренинг за лидери,|Judith|Hunter|,1.0
