Start Time,End Time,First Name,Last Name,Phone,Email,Type,Calendar,Appointment Price,Paid?,Amount Paid Online,Certificate Code,Notes,Date Scheduled,Label,Scheduled By,"Име на компанията, в която работите | Name of the company you work for  ",Служебен имейл | Work email  ,Предпочитани платформи | Preferred platforms  ,Appointment ID
"January 15, 2021 9:00","January 15, 2021 9:50",Дилмана,Габровлиева,882833928,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Жана Иванова | Zhana Ivanova,0,no,0,,,2021-01-08,,a client ,NexaTech,d.gabrovlieva@nexatech.com,Zoom,504795480
"January 15, 2021 10:00","January 15, 2021 10:50",Любина,Йоткова,,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-04,,a client ,NexaTech,l.jotkova@nexatech.com,Skype,501661367
"January 15, 2021 11:00","January 15, 2021 11:50",Флавия,Градинарова,888291252,flaviya.gradinarova@yahoo.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-07,,a client ,BlueNova,f.gradinarova@bluenova.com,,504028061
"January 15, 2021 11:00","January 15, 2021 11:50",Jeremy,Abbott,882812552,jeremy.abbott@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-14,,a client ,BlueNova,j.abbott@bluenova.com,Zoom,508416763
"January 15, 2021 12:00","January 15, 2021 12:50",Софийка,Точева-Клопова,,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-14,,hello@test.jp,NexaTech,s.tocheva-klopova@nexatech.com,Skype,508438399
"January 15, 2021 16:00","January 15, 2021 16:50",Chana,Floyd,818050111,chana.floyd@msn.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-07,,a client ,BlueNova,chana.floyd@msn.com,Zoom,504018517
"January 15, 2021 18:30","January 15, 2021 19:20",Alijah,Crawford,818385881,alijah.crawford@msn.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-10,,a trainer,,,,505763947
"January 18, 2021 10:00","January 18, 2021 10:50",Гердан,Белоконска-Вражалска,882552252,gerdan.belokonska-vrazhalska@mail.bg,Vortex | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-07,,a client ,Vortex,g.belokonska-vrazhalska@vortex.com,Viber,504072759
"January 18, 2021 11:00","January 18, 2021 11:50",Kymani,Mccormick,892251191,kymani.mccormick@yahoo.co.uk,Vortex | Online leadership training | Онлайн тренинг за лидери,,0,no,0,,,2021-01-15,,a client ,Vortex,k.mccormick@vortex.com,Zoom,509148690
"January 18, 2021 12:00","January 18, 2021 12:50",Bryan,Christensen,359888882922,bryan.christensen@yandex.ru,BlueNova | Online leadership training | Онлайн тренинг за лидери,,0,no,0,,,2021-01-14,,a client ,BlueNova,b.christensen@bluenova.com,"Zoom, Viber",508423735
"January 18, 2021 14:00","January 18, 2021 14:50",Финдо,Градинарова,882252233,findo.gradinarova@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Жана Иванова | Zhana Ivanova,0,no,0,,,2021-01-14,,a client ,BlueNova,f.gradinarova@bluenova.com,Zoom,508426123
"January 18, 2021 15:00","January 18, 2021 15:50",Кръстанка,Коритарова,885881182,krastanka.koritarova@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-07,,a client ,BlueNova,k.koritarova@bluenova.com,Zoom,504029335
"January 18, 2021 15:00","January 18, 2021 15:50",Кветослава,Певецова,892128221,kvetoslava.pevecova@yahoo.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-07,,a client ,BlueNova,k.pevecova@bluenova.com,,504038463
"January 18, 2021 15:00","January 18, 2021 15:50",Beckham,Roberson,359892101520,beckham.roberson@gmail.com,Vortex | Leadership training in person | Тренинг за лидери на живо,Жана Иванова | Zhana Ivanova,0,no,0,,,2021-01-09,,a client ,Vortex,b.roberson@vortex.com,,505317177
"January 18, 2021 15:00","January 18, 2021 15:50",Щтъркан,Недялков,898213212,shhtarkan.nedyalkov@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-12,,a client ,BlueNova,shhtarkan.nedyalkov@gmail.com,Viber,506973784
"January 18, 2021 16:00","January 18, 2021 16:50",Мерилин,Таралингова,811139112,merilin.taralingova@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-12,,a client ,BlueNova,m.taralingova@bluenova.com,"Zoom, Viber",507015174
"January 18, 2021 17:00","January 18, 2021 17:50",Урима,Дачев,,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-12,,a client ,NexaTech,u.dachev@nexatech.com,Viber,506964169
"January 18, 2021 18:00","January 18, 2021 18:50",Настимир,Пръндачка,885210310,nastimir.prandachka@gmail.com,Vortex | Leadership training in person | Тренинг за лидери на живо,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-15,,a client ,Vortex,n.prandachka@vortex.com,,509162983
"January 18, 2021 18:30","January 18, 2021 19:20",Силяна,Таралингова,883329132,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-14,,a client ,NexaTech,s.taralingova@nexatech.com,Viber,508429823
"January 19, 2021 11:00","January 19, 2021 11:50",Tanya,Hardy,881853522,tanya.hardy@msn.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-07,,a client ,BlueNova,t.hardy@bluenova.com,"Zoom, Skype, Viber",504036706
"January 19, 2021 15:00","January 19, 2021 15:50",Махно,Вампирска,818201222,maxno.vampirska@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-11,,a client ,BlueNova,m.vampirska@bluenova.com,Skype,506393872
"January 19, 2021 16:00","January 19, 2021 16:50",Morgan,Harrell,898229925,morgan.harrell@yahoo.co.uk,Vortex | Leadership training in person | Тренинг за лидери на живо,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-08,,a client ,Vortex,m.harrell@vortex.com,,504706882
"January 19, 2021 16:00","January 19, 2021 16:50",Полексина,Градинарова,,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-14,,a client ,NexaTech,p.gradinarova@nexatech.com,Skype,508425035
"January 19, 2021 17:00","January 19, 2021 17:50",Нешка,Иванов,882808082,neshka.ivanov@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-07,,a client ,BlueNova,n.ivanov@bluenova.com,"Zoom, Skype",504012348
"January 19, 2021 17:00","January 19, 2021 17:50",Агнешка,Дачев,883328885,agneshka.dachev@abv.bg,Vortex | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-14,,a client ,Vortex,a.dachev@vortex.com,Zoom,508651574
"January 19, 2021 18:30","January 19, 2021 19:20",Rex,Ortega,899225322,rex.ortega@yandex.ru,BlueNova | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-08,,a client ,BlueNova,r.ortega@bluenova.com,Zoom,504687982
"January 20, 2021 11:00","January 20, 2021 11:50",Филко,Рангелов,885222990,filko.rangelov@yahoo.com,Vortex | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-11,,a client ,Vortex,f.rangelov@vortex.com,Zoom,506177054
"January 20, 2021 15:00","January 20, 2021 15:50",Панделис,Каракашев,,,BlueNova | Leadership training in person | Тренинг за лидери на живо,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-14,,hello@test.jp,BlueNova,p.karakashev@bluenova.com,,508456714
"January 20, 2021 15:00","January 20, 2021 15:50",Гердан,Белоконска-Вражалска,882552252,gerdan.belokonska-vrazhalska@mail.bg,Vortex | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-18,,a client ,Vortex,g.belokonska-vrazhalska@vortex.com,Viber,510575950
"January 20, 2021 16:00","January 20, 2021 16:50",Julien,Brown,889191210,julien.brown@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-11,,a client ,BlueNova,j.brown@bluenova.com,"Skype, Viber",505973723
"January 20, 2021 17:00","January 20, 2021 17:50",Nora,Patton,883381258,nora.patton@msn.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-07,,a client ,BlueNova,nora.patton@msn.com,"Zoom, Skype, Viber",504034963
"January 20, 2021 18:00","January 20, 2021 18:50",Charlie,Santana,889238292,charlie.santana@msn.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-07,,a client ,BlueNova,c.santana@bluenova.com,,504012260
"January 20, 2021 18:00","January 20, 2021 18:50",Тодор,Балканска,,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-14,,a client ,NexaTech,t.balkanska@nexatech.com,Viber,508451179
"January 20, 2021 18:15","January 20, 2021 19:05",Илчо,Европов Кирилов,899112102,ilcho.evropov kirilov@yahoo.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-14,,a trainer,,,,508428948
"January 20, 2021 18:30","January 20, 2021 19:20",Маслина,Васовa,359899522008,maslina.vasova@mail.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-07,,client logged in asmaslina.vasova@mail.bg,BlueNova,m.vasova@bluenova.com,"Zoom, Skype, Viber",504016708
"January 20, 2021 19:30","January 20, 2021 20:20",Финдо,Прошков,818502512,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Жана Иванова | Zhana Ivanova,0,no,0,,,2021-01-14,,a client ,NexaTech,f.proshkov@nexatech.com,Zoom,508430448
"January 21, 2021 13:00","January 21, 2021 13:50",Micah,Yu,883522500,micah.yu@yahoo.co.uk,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-08,,a client ,BlueNova,m.yu@bluenova.com,Zoom,504697855
"January 21, 2021 13:00","January 21, 2021 13:50",Деспинка,Чанлиева,889101011,despinka.chanlieva@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,,0,no,0,,,2021-01-18,,a client ,BlueNova,d.chanlieva@bluenova.com,Zoom,510573157
"January 21, 2021 15:00","January 21, 2021 15:50",Денчо,Кочеткова,889251928,dencho.kochetkova@yahoo.com,Vortex | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-12,,a client ,Vortex,d.kochetkova@vortex.com,Zoom,507004002
"January 21, 2021 16:30","January 21, 2021 17:20",Alessandra,Bentley,883322211,alessandra.bentley@yandex.ru,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-13,,client logged in asalessandra.bentley@yandex.ru,BlueNova,a.bentley@bluenova.com,"Zoom, Skype",507791714
"January 21, 2021 17:30","January 21, 2021 18:20",Стависара,Чутурков,818225151,stavisara.chuturkov@gmail.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-07,,a client ,BlueNova,stavisara.chuturkov@gmail.com,,504019756
"January 21, 2021 17:30","January 21, 2021 18:20",Tripp,Vang,895899111,tripp.vang@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-14,,a trainer,,,,508429786
"January 21, 2021 18:00","January 21, 2021 18:50",Райничка,Келешев,899103531,rajnichka.keleshev@abv.bg,Vortex | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-13,,a client ,Vortex,r.keleshev@vortex.com,Viber,507881926
"January 21, 2021 19:00","January 21, 2021 19:50",Сахория,Цицков,,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-04,,a client ,NexaTech,s.cickov@nexatech.com,Google Meet,501622450
"January 24, 2021 16:30","January 24, 2021 17:20",Alijah,Crawford,818385881,alijah.crawford@msn.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-16,,a trainer,,,,509852984
"January 25, 2021 11:00","January 25, 2021 11:50",Kymani,Mccormick,892251191,kymani.mccormick@yahoo.co.uk,Vortex | Online leadership training | Онлайн тренинг за лидери,,0,no,0,,,2021-01-18,,a client ,Vortex,k.mccormick@vortex.com,Zoom,510587820
"January 25, 2021 12:00","January 25, 2021 12:50",Judith,Hunter,359888805225,judith.hunter@yandex.ru,Vortex | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-08,,a client ,Vortex,j.hunter@vortex.com,Zoom,504725909
"January 25, 2021 16:00","January 25, 2021 16:50",Финдо,Градинарова,882252233,findo.gradinarova@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Жана Иванова | Zhana Ivanova,0,no,0,,,2021-01-18,,client logged in asfindo.gradinarova@gmail.com,BlueNova,f.gradinarova@bluenova.com,"Zoom, Viber",510575090
"January 25, 2021 16:30","January 25, 2021 17:20",Нона,Пътечкова,889192299,nona.patechkova@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-13,,a client ,BlueNova,n.patechkova@bluenova.com,Skype,507905716
"January 25, 2021 16:30","January 25, 2021 17:20",Божин,Мангъфова,891592201,bozhin.mangafova@gmail.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-14,,a client ,BlueNova,bozhin.mangafova@gmail.com,,508425285
"January 25, 2021 17:30","January 25, 2021 18:20",Tripp,Vang,895899111,tripp.vang@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-21,,a trainer,,,,512856498
"January 25, 2021 19:00","January 25, 2021 19:50",Илианна,Катърова,891505211,ilianna.katarova@mail.bg,Vortex | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-19,,a client ,Vortex,i.katarova@vortex.com,Viber,511331128
"January 26, 2021 10:00","January 26, 2021 10:50",Маслина,Васовa,359899522008,maslina.vasova@mail.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-13,,a client ,BlueNova,m.vasova@bluenova.com,Zoom,507946975
"January 26, 2021 12:00","January 26, 2021 12:50",Янкул,Скринска,891020350,yankul.skrinska@abv.bg,Vortex | Leadership training in person | Тренинг за лидери на живо,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-08,,a client ,Vortex,y.skrinska@vortex.com,,504687006
"January 26, 2021 15:30","January 26, 2021 16:20",Alessandra,Bentley,883322211,alessandra.bentley@yandex.ru,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-13,,client logged in asalessandra.bentley@yandex.ru,BlueNova,a.bentley@bluenova.com,"Zoom, Skype",507792180
"January 26, 2021 16:00","January 26, 2021 16:50",Жейна,Самоходов,898122229,zhejna.samoxodov@yahoo.com,Vortex | Leadership training in person | Тренинг за лидери на живо,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-11,,a client ,Vortex,z.samoxodov@vortex.com,,506181819
"January 26, 2021 17:00","January 26, 2021 17:50",Нешка,Иванов,882808082,neshka.ivanov@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-07,,a client ,BlueNova,n.ivanov@bluenova.com,"Zoom, Skype",504012520
"January 26, 2021 17:30","January 26, 2021 18:20",Янедин,Пътечкова,890210222,yanedin.patechkova@gmail.com,Vortex | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-08,,a client ,Vortex,y.patechkova@vortex.com,Zoom,504787089
"January 26, 2021 18:30","January 26, 2021 19:20",Norah,Fischer,359882112912,norah.fischer@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-18,,a client ,BlueNova,n.fischer@bluenova.com,"Zoom, Skype",510590729
"January 27, 2021 12:00","January 27, 2021 12:50",Хитко,Мангъфова,883219221,xitko.mangafova@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-14,,a client ,BlueNova,x.mangafova@bluenova.com,Zoom,508493798
"January 27, 2021 15:00","January 27, 2021 15:50",Кръстанка,Коритарова,885881182,krastanka.koritarova@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-18,,a client ,BlueNova,k.koritarova@bluenova.com,Skype,510662992
"January 27, 2021 16:00","January 27, 2021 16:50",Любина,Йоткова,,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-18,,a client ,NexaTech,l.jotkova@nexatech.com,Skype,510730094
"January 27, 2021 17:00","January 27, 2021 17:50",Rex,Ortega,899225322,rex.ortega@yandex.ru,BlueNova | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-19,,a client ,BlueNova,r.ortega@bluenova.com,Zoom,511487441
